rand_ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,indegree,outdegree,state_indegree,state_outdegree,prox_indegree,prox_outdegree,rand_ind_t,null_indegree,null_outdegree,state_null_indegree,state_null_outdegree,dist_null_indegree,dist_null_outdegree
27,1013,2019-03-03,316 14th St Oakland California,0.4828313737302301,0,4,Oakland,California,-122.2678922,37.80331629999999,0.0,1.6094379124341005,19,21,1,1,1,1,14,25,34,5,4,2,1
28,34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.1071864,29.973227299999998,0.0,1.6094379124341005,23,19,0,1,1,1,15,25,35,0,2,1,2
29,794,2018-02-10,413 Mill St Paintsville Kentucky,1.2542316284596384,5,0,Paintsville,Kentucky,-82.81063960000002,37.81621129999999,1.791759469228055,0.0,19,15,2,0,4,0,16,25,37,1,0,1,3
30,595,2017-02-07,5500 block of Fairfield Road Columbia South Carolina,0.4828313737302301,0,4,Columbia,South Carolina,-81.02573459999998,34.0592634,0.0,1.6094379124341005,24,20,0,0,2,0,17,23,41,0,0,1,3
31,595,2017-02-07,25 Par Drive Little Rock Arkansas,0.9680344001221916,1,4,Little Rock,Arkansas,-92.4290204,34.6728628,0.6931471805599453,1.6094379124341005,23,21,0,0,6,3,17,23,41,0,0,1,3
32,415,2016-04-16,1100 block of Conley Street Orlando Florida,1.2518599757979068,2,4,Orlando,Florida,-81.3935984,28.5329354,1.0986122886681098,1.6094379124341005,21,27,2,1,2,1,18,22,41,2,0,2,0
33,415,2016-04-16,Baxter Street Enterprise Alabama,0.4828313737302301,0,4,Enterprise,Alabama,-85.81524300000002,31.303638,0.0,1.6094379124341005,20,28,2,2,3,2,18,22,41,0,2,1,3
34,415,2016-04-16,9500 block of Oakland Detroit Michigan,0.9680344001221916,1,4,Detroit,Michigan,-83.07417769999998,42.3882354,0.6931471805599453,1.6094379124341005,22,26,1,0,6,4,18,22,41,0,2,2,8
35,871,2018-07-03,1700 block of Benning Rd NE Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.97916479999998,38.8994838,0.0,1.6094379124341005,27,25,0,1,4,8,19,21,40,0,2,1,4
36,871,2018-07-03,1700 block of Billups Ave Saint Louis Missouri,1.0227308671603779,1,5,Saint Louis,Missouri,-90.2425298,38.6565816,0.6931471805599453,1.791759469228055,28,24,0,0,2,2,19,21,40,1,3,2,5
37,384,2016-01-30,67th and Missouri Avenue Glendale Arizona,1.5079338935523396,3,5,Glendale,Arizona,-112.20484040000001,33.5165652,1.3862943611198906,1.791759469228055,15,27,0,1,0,1,20,21,40,0,0,0,1
38,729,2017-10-01,3950 Las Vegas Blvd S Las Vegas Nevada,4.693434158178778,59,441,Las Vegas,Nevada,-115.1763365,36.09339170000001,4.0943445622220995,6.091309882077698,25,18,0,0,1,3,21,19,40,0,0,1,3
39,729,2017-10-01,1000 block of Massachusetts St Lawrence Kansas,1.2999897393843562,3,2,Lawrence,Kansas,-95.235711,38.9654625,1.3862943611198906,1.0986122886681098,26,17,0,0,0,0,21,19,40,0,0,0,2
40,104,2014-08-10,5400 block of Burgundy St New Orleans Louisiana,1.3065564428360932,2,5,New Orleans,Louisiana,-90.01919699999998,29.959362,1.0986122886681098,1.791759469228055,25,22,0,2,0,3,22,20,37,1,3,1,4
41,104,2014-08-10,16300 block of Heather Glen Road  Moreno Valley California,0.6238324625039507,0,7,Moreno Valley,California,-117.22176040000001,33.883615999999996,0.0,2.079441541679836,22,25,1,5,1,4,22,20,37,1,4,1,3
42,104,2014-08-10,2455 Idylwild Dr Wrightsville Georgia,0.583773044716594,0,6,Wrightsville,Georgia,-82.72899629999998,32.7091475,0.0,1.9459101490553128,23,24,2,2,2,2,22,20,37,0,0,2,0
43,104,2014-08-10,50 block of N St SW Washington District of Columbia,0.583773044716594,0,6,Washington,District of Columbia,-77.0108573,38.8744857,0.0,1.9459101490553128,24,23,1,0,6,2,22,20,37,1,1,2,3
44,776,2018-01-01,2025 Sparkman Dr NW Huntsville Alabama,0.9010913347279288,1,3,Huntsville,Alabama,-86.59455670000001,34.7628076,0.6931471805599453,1.3862943611198906,19,20,2,3,4,6,23,22,39,1,1,2,3
45,1088,2019-07-04,800 block of N Homan Ave Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.7114211,41.8954986,0.6931471805599453,1.3862943611198906,35,26,2,9,5,10,24,22,37,1,5,2,11
46,1088,2019-07-04,1100 block of Preston St Rockford Illinois,0.4828313737302301,0,4,Rockford,Illinois,-89.10634209999998,42.2714764,0.0,1.6094379124341005,36,25,3,8,5,8,24,22,37,1,5,2,8
47,1088,2019-07-04,1900 block of Adair St Los Angeles California,0.4828313737302301,0,4,Los Angeles,California,-118.25828419999999,34.0280185,0.0,1.6094379124341005,34,27,7,1,4,0,24,22,37,2,2,2,2
48,1088,2019-07-04,4700 block of E Hamilton Ave Fresno California,0.9010913347279288,1,3,Fresno,California,-119.74090020000001,36.724575200000004,0.6931471805599453,1.3862943611198906,33,28,6,2,5,3,24,22,37,2,2,3,2
49,1055,2019-05-18,700 Leverette Ln Cascilla Mississippi,0.9680344001221916,1,4,Cascilla,Mississippi,-90.1201993,33.8848664,0.6931471805599453,1.6094379124341005,27,31,0,0,0,1,25,25,33,0,1,2,4
50,1055,2019-05-18,100 Martin Luther King Avenue Atmore Alabama,1.1443703995928276,1,8,Atmore,Alabama,-87.4796241,31.032088399999996,0.6931471805599453,2.19722457733622,26,32,0,0,2,1,25,25,33,2,0,3,3
51,1055,2019-05-18,70 Kirkwood Ct SW Cedar Rapids Iowa,1.0986122886681096,2,2,Cedar Rapids,Iowa,-91.6554425,41.9216506,1.0986122886681098,1.0986122886681098,25,33,0,0,4,6,25,25,33,0,0,4,9
52,1055,2019-05-18,2410 W. Euclid Ave Muncie Indiana,1.0689760711085556,1,6,Muncie,Indiana,-85.4147845,40.2073182,0.6931471805599453,1.9459101490553128,24,34,2,0,3,7,25,25,33,0,1,6,10
53,1055,2019-05-18,4252 Cody Drive Winston Salem (Winston-salem) North Carolina,1.2518599757979068,2,4,Winston Salem (Winston-salem),North Carolina,-80.25111640000002,36.1501676,1.0986122886681098,1.6094379124341005,21,37,0,0,0,5,25,25,33,0,1,2,1
54,1055,2019-05-18,1616 West Pacific Coast Highway Long Beach California,0.9680344001221916,1,4,Long Beach,California,-118.21426170000001,33.789620500000005,0.6931471805599453,1.6094379124341005,23,35,4,3,2,1,25,25,33,4,1,4,0
55,1055,2019-05-18,2825 Y St Omaha Nebraska,0.4828313737302301,0,4,Omaha,Nebraska,-95.9558886,41.1974141,0.0,1.6094379124341005,22,36,0,0,0,1,25,25,33,0,0,2,1
56,1091,2019-07-07,211 Gold Ave SW Albuquerque New Mexico,0.4828313737302301,0,4,Albuquerque,New Mexico,-106.64992350000001,35.083595200000005,0.0,1.6094379124341005,37,22,0,0,0,0,26,31,29,0,0,0,1
57,1091,2019-07-07,Clio Rd and Myrtle St Flint Michigan,0.583773044716594,0,6,Flint,Michigan,-83.73268619999997,43.05039620000001,0.0,1.9459101490553128,41,18,0,0,9,5,26,31,29,1,1,4,8
58,1091,2019-07-07,600 block of W 61st Pl Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.639763,41.783262,0.0,1.6094379124341005,38,21,4,6,6,7,26,31,29,3,3,7,8
59,1091,2019-07-07,5600 block of S Paulina St Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.6669876,41.7921493,0.0,1.6094379124341005,39,20,5,5,7,6,26,31,29,3,3,8,7
60,1091,2019-07-07,N Tucker Blvd and Convention Plaza Saint Louis Missouri,0.5375278407684164,0,5,Saint Louis,Missouri,-90.1961105,38.6332014,0.0,1.791759469228055,40,19,2,0,2,0,26,31,29,1,3,3,5
61,540,2016-10-31,700 Block of W 68th St Shreveport Louisiana,0.4828313737302301,0,4,Shreveport,Louisiana,-93.76956690000002,32.4437869,0.0,1.6094379124341005,24,25,0,0,1,3,27,35,30,2,2,2,2
62,905,2018-08-20,E 94th St and Kinsman Rd Cleveland Ohio,0.9010913347279288,1,3,Cleveland,Ohio,-81.6201195,41.4716683,0.6931471805599453,1.3862943611198906,26,25,1,2,3,2,28,34,30,0,1,3,5
63,905,2018-08-20,60 Heritage Square Jackson Tennessee,0.9680344001221916,1,4,Jackson,Tennessee,-88.85613289999998,35.658273,0.6931471805599453,1.6094379124341005,27,24,0,2,1,5,28,34,30,0,1,5,3
64,438,2016-05-22,8639 Apple St New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.1237075,29.9616419,0.0,1.6094379124341005,23,29,2,0,2,1,29,35,28,2,1,2,2
65,438,2016-05-22,100 block of Rains Avenue Nashville Tennessee,0.4828313737302301,0,4,Nashville,Tennessee,-86.76380019999998,36.140124799999995,0.0,1.6094379124341005,21,31,1,0,5,0,29,35,28,1,0,4,1
66,438,2016-05-22,Poplar and Sutter Streets Stockton California,0.9010913347279288,1,3,Stockton,California,-121.2882889,37.962289,0.6931471805599453,1.3862943611198906,22,30,1,6,1,5,29,35,28,4,1,1,0
67,511,2016-09-11,87 Van Wagenen Ave Jersey City New Jersey,0.9010913347279288,1,3,Jersey City,New Jersey,-74.07023199999998,40.73327310000001,0.6931471805599453,1.3862943611198906,24,27,2,0,8,4,30,37,23,0,1,2,6
68,511,2016-09-11,1100 block of Highway 70 New Bern North Carolina,0.5375278407684164,0,5,New Bern,North Carolina,-77.0300249,35.079977,0.0,1.791759469228055,26,25,1,1,2,2,30,37,23,1,0,2,1
69,511,2016-09-11,2207 Pierce Road Saginaw Michigan,0.5375278407684164,0,5,Saginaw,Michigan,-83.959673,43.50688299999999,0.0,1.791759469228055,27,24,0,0,4,1,30,37,23,2,1,7,5
70,511,2016-09-11,500 block of Westport Rd Kansas City Missouri,0.583773044716594,0,6,Kansas City,Missouri,-94.5917188,39.0529277,0.0,1.9459101490553128,28,23,1,0,1,0,30,37,23,2,2,4,3
71,511,2016-09-11,2349 S Claiborne Ave New Orleans Louisiana,1.0227308671603779,1,5,New Orleans,Louisiana,-90.091415,29.9446828,0.6931471805599453,1.791759469228055,29,22,0,0,1,0,30,37,23,3,0,3,1
72,511,2016-09-11,3006 Holton Avenue Fort Wayne Indiana,1.178350206951907,3,1,Fort Wayne,Indiana,-85.11875040000002,41.057414200000004,1.3862943611198906,0.6931471805599453,25,26,0,2,3,5,30,37,23,1,1,9,7
73,1060,2019-05-27,5900 block of Goodfellow Blvd Saint Louis Missouri,1.0986122886681096,2,2,Saint Louis,Missouri,-90.2547683,38.713439799999996,1.0986122886681098,1.0986122886681098,31,26,2,0,4,3,31,41,22,3,1,5,3
74,1060,2019-05-27,100 block of Walnut St Trenton New Jersey,1.0227308671603779,1,5,Trenton,New Jersey,-74.74892,40.22096060000001,0.6931471805599453,1.791759469228055,29,28,1,0,5,2,31,41,22,1,0,3,5
75,1060,2019-05-27,1200 block of Sumner Rd SE Washington District of Columbia,0.5375278407684164,0,5,Washington,District of Columbia,-76.9972245,38.8611047,0.0,1.791759469228055,30,27,1,0,8,3,31,41,22,2,1,4,3
76,185,2015-01-23,954 Parker Street Boston Massachusetts,0.583773044716594,0,6,Boston,Massachusetts,-71.10100870000002,42.3243929,0.0,1.9459101490553128,17,15,1,0,1,2,32,41,22,0,0,2,1
77,326,2015-09-25,1300 block of May Street Danville Illinois,0.4828313737302301,0,4,Danville,Illinois,-87.60225009999998,40.1401769,0.0,1.6094379124341005,26,21,3,5,6,8,33,40,22,4,3,9,8
78,583,2017-01-15,County Road Y Capulin Colorado,1.178350206951907,3,1,Capulin,Colorado,-106.10426890000001,37.298152,1.3862943611198906,0.6931471805599453,25,22,0,0,0,0,34,40,22,0,0,1,0
79,583,2017-01-15,6000 block of Church Road Magnolia Mississippi,0.9680344001221916,1,4,Magnolia,Mississippi,-90.5340219,31.12852920000001,0.6931471805599453,1.6094379124341005,24,23,1,2,1,3,34,40,22,1,0,6,0
80,406,2016-03-13,50 South Road Fort Myers Florida,0.4828313737302301,0,4,Fort Myers,Florida,-81.8689344,26.5761675,0.0,1.6094379124341005,20,24,1,2,1,2,35,40,26,0,0,0,0
81,452,2016-06-18,Fredrick Douglas Road Exmore Virginia,0.9010913347279288,1,3,Exmore,Virginia,-75.832151,37.532512,0.6931471805599453,1.3862943611198906,31,31,0,2,7,5,36,37,26,0,1,4,4
82,452,2016-06-18,East 79th Street and South Escanaba Avenue Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.5540382,41.751886799999994,0.0,1.6094379124341005,29,33,2,5,4,5,36,37,26,5,2,10,8
83,452,2016-06-18,2625 Arnold Ct Waycross Georgia,1.0986122886681096,2,2,Waycross,Georgia,-82.363423,31.220115999999997,1.0986122886681098,1.0986122886681098,30,32,0,2,1,2,36,37,26,0,2,0,3
84,279,2015-07-17,3100 block of Sunshine Avenue Cincinnati (Westwood) Ohio,0.4828313737302301,0,4,Cincinnati (Westwood),Ohio,-84.5788865,39.1436051,0.0,1.6094379124341005,30,25,2,0,8,2,37,39,25,1,2,8,8
85,279,2015-07-17,4400 block of W. Maypole Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.7358562,41.884808299999996,0.0,1.791759469228055,31,24,2,3,6,3,37,39,25,6,1,11,6
86,1123,2019-08-23,1122 Union Blvd Saint Louis Missouri,0.9010913347279288,1,3,Saint Louis,Missouri,-90.2721923,38.657819399999994,0.6931471805599453,1.3862943611198906,16,34,2,1,2,1,38,37,23,3,0,6,1
87,1123,2019-08-23,4900 block of Southwind St Houston Texas,1.2999897393843562,3,2,Houston,Texas,-95.3503175,29.677979399999998,1.3862943611198906,1.0986122886681098,18,32,1,1,1,1,38,37,23,0,0,1,0
88,1123,2019-08-23,200 Riverview Park Dr Dublin Georgia,0.4828313737302301,0,4,Dublin,Georgia,-82.89741149999998,32.5170907,0.0,1.6094379124341005,17,33,1,1,3,6,38,37,23,1,1,1,3
89,512,2016-09-13,1723 E Wayne St Fort Wayne Indiana,1.2999897393843562,3,2,Fort Wayne,Indiana,-85.1149066,41.08034079999999,1.3862943611198906,1.0986122886681098,29,22,1,1,5,3,39,33,27,1,0,10,10
90,927,2018-09-22,1800 block of Benning Rd Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.9773661,38.89929550000001,0.0,1.6094379124341005,25,22,0,0,6,2,40,29,27,1,1,4,7
91,927,2018-09-22,Dolan St Hempstead New York,0.4828313737302301,0,4,Hempstead,New York,-73.6187397,40.706212799999996,0.0,1.6094379124341005,24,23,1,0,5,3,40,29,27,0,1,5,5
92,397,2016-02-28,5500 block of Etiwanda Avenue Riverside (Jurupa Valley) California,0.9010913347279288,1,3,Riverside (Jurupa Valley),California,-117.5227124,33.9882595,0.6931471805599453,1.3862943611198906,26,21,2,2,1,1,41,30,26,1,2,0,1
93,397,2016-02-28,8800 block of Livernois Detroit Michigan,0.5375278407684164,0,5,Detroit,Michigan,-83.13790999999998,42.3590683,0.0,1.791759469228055,27,20,1,1,2,5,41,30,26,1,4,7,8
94,180,2015-01-10,4859 E Harry Street Wichita Kansas,1.0986122886681096,2,2,Wichita,Kansas,-97.27867490000001,37.66431179999999,1.0986122886681098,1.0986122886681098,17,18,0,0,0,1,42,30,26,0,0,1,0
95,1035,2019-04-18,4000 block of Bells Ln Louisville Kentucky,0.4828313737302301,0,4,Louisville,Kentucky,-85.8223184,38.222721899999996,0.0,1.6094379124341005,25,26,1,0,3,6,43,28,29,0,0,6,1
96,1080,2019-06-26,900 block of Rowe St Akron Ohio,0.9010913347279288,1,3,Akron,Ohio,-81.50205430000003,41.0539403,0.6931471805599453,1.3862943611198906,30,34,2,0,4,1,44,23,32,1,2,3,7
97,1080,2019-06-26,2800 block of N 34th St Milwaukee Wisconsin,0.4828313737302301,0,4,Milwaukee,Wisconsin,-87.9559,43.069893,0.0,1.6094379124341005,29,35,0,0,4,7,44,23,32,0,0,4,8
98,701,2017-08-08,1 block of East 37th St Chicago Illinois,1.0689760711085556,1,6,Chicago,Illinois,-87.626407,41.8273618,0.6931471805599453,1.9459101490553128,21,22,3,3,3,3,45,22,32,3,2,7,8
99,381,2016-01-25,140 S. D Street Perris California,0.9680344001221916,1,4,Perris,California,-117.22868490000002,33.784686799999996,0.6931471805599453,1.6094379124341005,16,26,2,2,1,1,46,22,32,1,4,1,1
100,55,2014-05-24,Strathmoor St Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.187569,42.397021,0.0,1.6094379124341005,20,17,0,1,4,7,47,22,31,1,4,8,10
101,55,2014-05-24,Ocean Boulevard near First Avenue North Myrtle Beach South Carolina,1.178350206951907,3,1,Myrtle Beach,South Carolina,-78.67765870000002,33.8173013,1.3862943611198906,0.6931471805599453,19,18,0,1,0,1,47,22,31,0,1,0,2
102,277,2015-07-15,7050 Old State Road Holly Hill South Carolina,1.3345506928718538,4,1,Holly Hill,South Carolina,-80.45002099999998,33.346705,1.6094379124341005,0.6931471805599453,26,26,0,0,0,3,48,22,28,1,0,3,2
103,277,2015-07-15,9200 block of Memorial Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.2113947,42.36245479999999,0.0,1.6094379124341005,27,25,2,0,7,5,48,22,28,2,3,9,9
104,277,2015-07-15,700 block of Thornhill Cleveland Ohio,0.6238324625039507,0,7,Cleveland,Ohio,-81.6018428,41.53763729999999,0.0,2.079441541679836,28,24,1,1,6,3,48,22,28,2,1,6,5
105,277,2015-07-15,3500 block of West Garrison Boulevard Baltimore Maryland,0.9010913347279288,1,3,Baltimore,Maryland,-76.67677900000002,39.34574600000001,0.6931471805599453,1.3862943611198906,29,23,1,0,8,5,48,22,28,0,3,3,10
106,277,2015-07-15,500 block of Center Hill Avenue Atlanta Georgia,0.5375278407684164,0,5,Atlanta,Georgia,-84.46399090000001,33.76893870000001,0.0,1.791759469228055,30,22,0,1,1,2,48,22,28,2,0,3,2
107,1059,2019-05-26,800 block of Alvis Road La Crosse Virginia,0.5375278407684164,0,5,La Crosse,Virginia,-78.0273682,36.6090344,0.0,1.791759469228055,28,27,1,2,3,5,49,26,29,1,0,4,4
108,1059,2019-05-26,600 block of E Oak St Stockton California,0.9010913347279288,1,3,Stockton,California,-121.28485890000002,37.959817,0.6931471805599453,1.3862943611198906,27,28,3,2,1,1,49,26,29,2,3,0,3
109,1059,2019-05-26,3509 Wheeler Rd SE Washington District of Columbia,0.9010913347279288,1,3,Washington,District of Columbia,-76.994089,38.839294,0.6931471805599453,1.3862943611198906,29,26,0,1,6,4,49,26,29,1,0,5,9
110,823,2018-04-18,73 Hansel Ave Asheville North Carolina,1.5424948470398374,4,3,Asheville,North Carolina,-82.583641,35.591598,1.6094379124341005,1.3862943611198906,18,23,1,3,1,5,50,26,30,0,0,3,1
111,517,2016-09-23,201 Cascade Mall Dr Burlington Washington,1.2542316284596384,5,0,Burlington,Washington,-122.3389611,48.4622631,1.791759469228055,0.0,28,19,0,0,0,0,51,25,30,0,0,0,0
112,1153,2019-10-12,6733 W Irving Park Rd Chicago Illinois,1.2542316284596384,5,0,Chicago,Illinois,-87.7951046,41.95248350000001,1.791759469228055,0.0,27,19,2,0,5,2,52,23,27,1,2,6,5
113,1153,2019-10-12,700 block of W Russell St Philadelphia Pennsylvania,0.9010913347279288,1,3,Philadelphia,Pennsylvania,-75.141537,40.003582,0.6931471805599453,1.3862943611198906,28,18,1,3,3,5,52,23,27,0,2,4,8
114,1153,2019-10-12,75 Utica Ave Brooklyn New York,1.5424948470398374,4,3,Brooklyn,New York,-73.9301986,40.676395899999996,1.6094379124341005,1.3862943611198906,29,17,0,0,6,4,52,23,27,1,3,5,8
115,1153,2019-10-12,800 block of W Lexington St Baltimore Maryland,0.9010913347279288,1,3,Baltimore,Maryland,-76.63077940000002,39.2912348,0.6931471805599453,1.3862943611198906,26,20,1,2,3,7,52,23,27,1,2,7,7
116,1153,2019-10-12,15163 E 10 Mile Rd Eastpointe Michigan,1.0227308671603779,1,5,Eastpointe,Michigan,-82.96447669999998,42.4798389,0.6931471805599453,1.791759469228055,25,21,0,2,3,5,52,23,27,3,2,7,6
117,816,2018-04-01,3556 Halls Mill Rd Mobile Alabama,0.9680344001221916,1,4,Mobile,Alabama,-88.12284679999998,30.6387232,0.6931471805599453,1.6094379124341005,19,17,1,0,1,2,53,27,26,0,0,0,2
118,816,2018-04-01,600 block of Yale St Saginaw Michigan,0.5375278407684164,0,5,Saginaw,Michigan,-83.9818929,43.4191787,0.0,1.791759469228055,18,18,1,1,3,1,53,27,26,4,1,9,4
119,343,2015-10-28,400 block of Morgan Street Houma Louisiana,0.9010913347279288,1,3,Houma,Louisiana,-90.7305463,29.59500809999999,0.6931471805599453,1.3862943611198906,18,15,1,0,1,0,54,27,26,0,0,1,1
120,427,2016-05-01,1955 Old Castle Drive Murfreesboro Tennessee,0.5375278407684164,0,5,Murfreesboro,Tennessee,-86.34826159999999,35.8228724,0.0,1.791759469228055,29,24,1,1,5,6,55,26,27,0,0,3,1
121,1077,2019-06-21,700 block of 14th St Richmond California,0.5375278407684164,0,5,Richmond,California,-122.35640900000001,37.9421263,0.0,1.791759469228055,25,40,1,8,1,6,56,26,24,2,3,1,3
122,1077,2019-06-21,1506 N Charles St Saginaw Michigan,0.9010913347279288,1,3,Saginaw,Michigan,-83.9677083,43.4296369,0.6931471805599453,1.3862943611198906,28,37,0,0,6,7,56,26,24,4,0,9,3
