ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,p_class,lonlat
473,296,2015-08-07,3182 Airport Rd Barre (Berlin) Vermont,1.1266065387038702,4,0,Barre (Berlin),Vermont,-72.5564206,44.2157967,1.6094379124341005,0.0,3,"[-72.5564206, 44.2157967]"
474,297,2015-08-08,2211 Falling Oaks Houston Texas,1.5380572041353535,8,0,Houston,Texas,-95.4518591,29.9198307,2.19722457733622,0.0,4,"[-95.4518591, 29.9198307]"
475,297,2015-08-08,833 Anderson Street Blytheville Arkansas,1.2306750213283617,1,11,Blytheville,Arkansas,-89.89667940000002,35.91935520000001,0.6931471805599453,2.4849066497880004,3,"[-89.89667940000002, 35.91935520000001]"
476,297,2015-08-08,4908 Greenwood Dr Gastonia North Carolina,1.184916910403644,2,3,Gastonia,North Carolina,-81.2398147,35.1924356,1.0986122886681098,1.3862943611198906,3,"[-81.2398147, 35.1924356]"
477,298,2015-08-09,40th Street and Pennsylvania Avenue Kansas City Missouri,0.4828313737302301,0,4,Kansas City,Missouri,-94.5931285,39.055054999999996,0.0,1.6094379124341005,1,"[-94.5931285, 39.055054999999996]"
478,298,2015-08-09,15200 block of Hazelridge Detroit Michigan,0.9010913347279288,1,3,Detroit,Michigan,-82.96503249999998,42.4245533,0.6931471805599453,1.3862943611198906,2,"[-82.96503249999998, 42.4245533]"
479,298,2015-08-09,Poplar St Forest Mississippi,0.9010913347279288,1,3,Forest,Mississippi,-89.45666279999998,32.3706072,0.6931471805599453,1.3862943611198906,2,"[-89.45666279999998, 32.3706072]"
480,299,2015-08-10,1700 block of East 10th Street Long Beach California,0.4828313737302301,0,4,Long Beach,California,-118.170906,33.7789722,0.0,1.6094379124341005,1,"[-118.170906, 33.7789722]"
481,300,2015-08-15,2868 Bamberg Road Orangeburg South Carolina,0.9010913347279288,1,3,Orangeburg,South Carolina,-80.90899979999998,33.4788256,0.6931471805599453,1.3862943611198906,2,"[-80.90899979999998, 33.4788256]"
482,300,2015-08-15,57th Street and South Normandie Avenue Los Angeles California,0.4828313737302301,0,4,Los Angeles,California,-118.3002142,33.990967100000006,0.0,1.6094379124341005,1,"[-118.3002142, 33.990967100000006]"
483,300,2015-08-15,West Prospect Avenue Pittsburgh Pennsylvania,0.9010913347279288,1,3,Pittsburgh,Pennsylvania,-80.0743212,40.4475329,0.6931471805599453,1.3862943611198906,2,"[-80.0743212, 40.4475329]"
484,301,2015-08-16,Highway 38N Bennettsville South Carolina,0.5375278407684164,0,5,Bennettsville,South Carolina,-79.679436,34.6084346,0.0,1.791759469228055,2,"[-79.679436, 34.6084346]"
485,301,2015-08-16,5400 block of West Division Street Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.76115899999998,41.902459,0.0,1.6094379124341005,1,"[-87.76115899999998, 41.902459]"
486,301,2015-08-16,3651 Sycamore School Rd Fort Worth Texas,0.583773044716594,0,6,Fort Worth,Texas,-97.372308,32.633589,0.0,1.9459101490553128,2,"[-97.372308, 32.633589]"
487,302,2015-08-19,500 Genesee St Rochester New York,1.4532374265141534,3,4,Rochester,New York,-77.6348798,43.1402876,1.3862943611198906,1.6094379124341005,3,"[-77.6348798, 43.1402876]"
488,303,2015-08-20,FM 2360 Grulla (La Grulla) Texas,1.0986122886681096,2,2,Grulla (La Grulla),Texas,-98.6462155,26.2758608,1.0986122886681098,1.0986122886681098,3,"[-98.6462155, 26.2758608]"
489,304,2015-08-21,Mathis and Prentice Cincinnati Ohio,1.3065564428360932,2,5,Cincinnati,Ohio,-84.390824,39.159499,1.0986122886681098,1.791759469228055,3,"[-84.390824, 39.159499]"
490,304,2015-08-21,2700 block of Hinson Drive Durham North Carolina,0.6591673732008658,0,8,Durham,North Carolina,-78.87778409999999,36.029680799999994,0.0,2.19722457733622,2,"[-78.87778409999999, 36.029680799999994]"
491,305,2015-08-22,302 East Reed Street Roswell New Mexico,1.178350206951907,3,1,Roswell,New Mexico,-104.518173,33.3814315,1.3862943611198906,0.6931471805599453,3,"[-104.518173, 33.3814315]"
492,305,2015-08-22,State Road 408 Orlando (Pine Hills) Florida,0.4828313737302301,0,4,Orlando (Pine Hills),Florida,-81.457679,28.549097200000002,0.0,1.6094379124341005,1,"[-81.457679, 28.549097200000002]"
493,306,2015-08-23,1100 block of Kansas Avenue Modesto California,1.1090354888959124,1,7,Modesto,California,-121.02343090000001,37.645770299999995,0.6931471805599453,2.079441541679836,3,"[-121.02343090000001, 37.645770299999995]"
494,307,2015-08-25,Fern Street and Olive Street New Orleans Louisiana,0.9010913347279288,1,3,New Orleans,Louisiana,-90.1111943,29.9617748,0.6931471805599453,1.3862943611198906,2,"[-90.1111943, 29.9617748]"
495,308,2015-08-26,800 block of 19th Street West Palm Beach Florida,1.0986122886681096,2,2,West Palm Beach,Florida,-80.05945320000002,26.7318343,1.0986122886681098,1.0986122886681098,3,"[-80.05945320000002, 26.7318343]"
496,308,2015-08-26,3025 W. Van Buren Ave Chicago Illinois,1.0986122886681096,2,2,Chicago,Illinois,-87.70203400000004,41.875696999999995,1.0986122886681098,1.0986122886681098,3,"[-87.70203400000004, 41.875696999999995]"
497,308,2015-08-26,5000 block of Drew Avenue North Minneapolis (Brooklyn Center) Minnesota,0.4828313737302301,0,4,Minneapolis (Brooklyn Center),Minnesota,-93.3270926,45.0460614,0.0,1.6094379124341005,1,"[-93.3270926, 45.0460614]"
498,309,2015-08-27,928 Blanco Circle Salinas California,1.0986122886681096,2,2,Salinas,California,-121.6375717,36.6544886,1.0986122886681098,1.0986122886681098,3,"[-121.6375717, 36.6544886]"
499,310,2015-08-28,589 Flatbush Avenue Brooklyn New York,0.9010913347279288,1,3,Brooklyn,New York,-73.9603643,40.6591437,0.6931471805599453,1.3862943611198906,2,"[-73.9603643, 40.6591437]"
500,311,2015-08-29,638 ENE Loop 323 Tyler Texas,0.9010913347279288,1,3,Tyler,Texas,-95.2861793,32.3903108,0.6931471805599453,1.3862943611198906,2,"[-95.2861793, 32.3903108]"
501,311,2015-08-29,618 Henson Road Bristol Tennessee,1.2999897393843562,3,2,Bristol,Tennessee,-82.09429809999997,36.5756825,1.3862943611198906,1.0986122886681098,3,"[-82.09429809999997, 36.5756825]"
502,312,2015-08-30,3300 block of Sobota Circle Memphis Tennessee,0.9680344001221916,1,4,Memphis,Tennessee,-90.0489801,35.1495343,0.6931471805599453,1.6094379124341005,2,"[-90.0489801, 35.1495343]"
503,313,2015-09-05,1509 Ashley Street Columbia Missouri,0.4828313737302301,0,4,Columbia,Missouri,-92.3165392,38.967620399999994,0.0,1.6094379124341005,1,"[-92.3165392, 38.967620399999994]"
504,313,2015-09-05,5000 block of Hollywood Boulevard Las Vegas Nevada,0.9010913347279288,1,3,Las Vegas,Nevada,-115.0256325,36.188689600000004,0.6931471805599453,1.3862943611198906,2,"[-115.0256325, 36.188689600000004]"
505,313,2015-09-05,300 block of Pearl Street Daytona Beach Florida,0.4828313737302301,0,4,Daytona Beach,Florida,-81.0294801,29.213111600000005,0.0,1.6094379124341005,1,"[-81.0294801, 29.213111600000005]"
506,313,2015-09-05,6800 block of Fieldvale Place Charlotte North Carolina,0.9010913347279288,1,3,Charlotte,North Carolina,-80.9106417,35.16072279999999,0.6931471805599453,1.3862943611198906,2,"[-80.9106417, 35.16072279999999]"
507,314,2015-09-07,1909 Blake Street Denver Colorado,0.4828313737302301,0,4,Denver,Colorado,-104.99549979999999,39.7537609,0.0,1.6094379124341005,1,"[-104.99549979999999, 39.7537609]"
508,314,2015-09-07,9300 block of Sunrise Gary Indiana,1.2518599757979068,2,4,Gary,Indiana,-87.225583,41.597053,1.0986122886681098,1.6094379124341005,3,"[-87.225583, 41.597053]"
509,315,2015-09-08,56th and Green Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.68071020000002,41.7920487,0.0,1.6094379124341005,1,"[-87.68071020000002, 41.7920487]"
510,315,2015-09-08,,0.4828313737302301,0,4,Berlin,Georgia,-84.389488,33.791638,0.0,1.6094379124341005,1,"[-84.389488, 33.791638]"
511,316,2015-09-10,Channel Drive Excelsior (Greenwood) Minnesota,1.2542316284596384,5,0,Excelsior (Greenwood),Minnesota,-93.5444554,44.9079351,1.791759469228055,0.0,3,"[-93.5444554, 44.9079351]"
512,317,2015-09-11,1000 North Carolina Music Factory Blvd. Charlotte North Carolina,0.5375278407684164,0,5,Charlotte,North Carolina,-80.8460599,35.239118,0.0,1.791759469228055,2,"[-80.8460599, 35.239118]"
513,318,2015-09-12,1200 block of 22nd Ave. N. Minneapolis Minnesota,0.9010913347279288,1,3,Minneapolis,Minnesota,-93.2956592,45.0015071,0.6931471805599453,1.3862943611198906,2,"[-93.2956592, 45.0015071]"
514,318,2015-09-12,1st Ave. and N. 5th St. Minneapolis Minnesota,0.583773044716594,0,6,Minneapolis,Minnesota,-93.2737554,44.98037739999999,0.0,1.9459101490553128,2,"[-93.2737554, 44.98037739999999]"
515,318,2015-09-12,36 Woodward Street Rochester New York,1.2518599757979068,2,4,Rochester,New York,-77.59934870000002,43.1644189,1.0986122886681098,1.6094379124341005,3,"[-77.59934870000002, 43.1644189]"
516,318,2015-09-12,1500 block of Clanton Street Shreveport Louisiana,0.4828313737302301,0,4,Shreveport,Louisiana,-93.7608966,32.45803239999999,0.0,1.6094379124341005,1,"[-93.7608966, 32.45803239999999]"
517,319,2015-09-13,1910 South Pine Avenue Ocala Florida,1.0227308671603779,1,5,Ocala,Florida,-82.13868080000002,29.168304,0.6931471805599453,1.791759469228055,3,"[-82.13868080000002, 29.168304]"
518,320,2015-09-15,Irvine Turner Boulevard and West Kinney Street Newark New Jersey,0.4828313737302301,0,4,Newark,New Jersey,-74.18925809999998,40.7321149,0.0,1.6094379124341005,1,"[-74.18925809999998, 40.7321149]"
519,321,2015-09-17,500 block of W. Broadwell Street Albion Michigan,0.4828313737302301,0,4,Albion,Michigan,-84.76026089999998,42.2571959,0.0,1.6094379124341005,1,"[-84.76026089999998, 42.2571959]"
520,321,2015-09-17,36705 379th Street Geddes South Dakota,1.3621371043387192,6,0,Geddes,South Dakota,-98.6046469,43.2948084,1.9459101490553128,0.0,3,"[-98.6046469, 43.2948084]"
521,322,2015-09-19,3900 block of Graceland Avenue Indianapolis Indiana,0.9010913347279288,1,3,Indianapolis,Indiana,-86.16278439999998,39.8263726,0.6931471805599453,1.3862943611198906,2,"[-86.16278439999998, 39.8263726]"
522,323,2015-09-20,5700 block of South LaSalle Chicago Illinois,1.0227308671603779,1,5,Chicago,Illinois,-87.63176159999998,41.8770561,0.6931471805599453,1.791759469228055,3,"[-87.63176159999998, 41.8770561]"
523,323,2015-09-20,900 Pratt St Philadelphia Pennsylvania,0.9010913347279288,1,3,Philadelphia,Pennsylvania,-75.09298179999998,40.0306976,0.6931471805599453,1.3862943611198906,2,"[-75.09298179999998, 40.0306976]"
524,323,2015-09-20,Pine and Yale Tulsa Oklahoma,0.583773044716594,0,6,Tulsa,Oklahoma,-95.9224605,36.1771008,0.0,1.9459101490553128,2,"[-95.9224605, 36.1771008]"
525,324,2015-09-23,1300 block of Reddington Lane Norcross Georgia,0.9010913347279288,1,3,Norcross,Georgia,-84.17448499999998,33.91048789999999,0.6931471805599453,1.3862943611198906,2,"[-84.17448499999998, 33.91048789999999]"
526,324,2015-09-23,Dale Street and Veronica S. Shoemaker Boulevard Fort Myers Florida,0.4828313737302301,0,4,Fort Myers,Florida,-81.83997240000002,26.6429197,0.0,1.6094379124341005,1,"[-81.83997240000002, 26.6429197]"
527,324,2015-09-23,2900 block of Peach Street Shreveport Louisiana,0.5375278407684164,0,5,Shreveport,Louisiana,-93.8243108,32.5490993,0.0,1.791759469228055,2,"[-93.8243108, 32.5490993]"
528,325,2015-09-24,5100 block of South Morgan Street Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.65020190000001,41.80152329999999,0.0,1.791759469228055,2,"[-87.65020190000001, 41.80152329999999]"
529,326,2015-09-25,1300 block of May Street Danville Illinois,0.4828313737302301,0,4,Danville,Illinois,-87.60225009999998,40.1401769,0.0,1.6094379124341005,1,"[-87.60225009999998, 40.1401769]"
530,327,2015-09-27,1700 E. 18th St. Kansas City Missouri,0.4828313737302301,0,4,Kansas City,Missouri,-94.5619258,39.091355,0.0,1.6094379124341005,1,"[-94.5619258, 39.091355]"
531,327,2015-09-27,5200 block of South Justine Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.6636807,41.7993886,0.0,1.6094379124341005,1,"[-87.6636807, 41.7993886]"
532,327,2015-09-27,1140 Hill Haven Road Greenville Georgia,0.7193685818395111,0,10,Greenville,Georgia,-84.72171970000002,33.038321,0.0,2.3978952727983707,2,"[-84.72171970000002, 33.038321]"
533,328,2015-09-28,1921 Oakridge Dayton Ohio,0.4828313737302301,0,4,Dayton,Ohio,-84.23580340000002,39.75841390000001,0.0,1.6094379124341005,1,"[-84.23580340000002, 39.75841390000001]"
534,328,2015-09-28,5300 block of South Aberdeen Street Chicago Illinois,1.184916910403644,2,3,Chicago,Illinois,-87.65289,41.797707,1.0986122886681098,1.3862943611198906,3,"[-87.65289, 41.797707]"
535,328,2015-09-28,300 block of West 42nd Street Chicago Illinois,1.2999897393843562,3,2,Chicago,Illinois,-87.6337728,41.8184212,1.3862943611198906,1.0986122886681098,3,"[-87.6337728, 41.8184212]"
536,328,2015-09-28,1800 block of Hewitt Avenue Cincinnati (Evanston) Ohio,0.5375278407684164,0,5,Cincinnati (Evanston),Ohio,-84.4719926,39.13738970000001,0.0,1.791759469228055,2,"[-84.4719926, 39.13738970000001]"
537,329,2015-10-01,1140 Umpqua College Rd Roseburg Oregon,2.369302218857073,10,9,Roseburg,Oregon,-123.33455959999999,43.2910295,2.3978952727983707,2.302585092994046,5,"[-123.33455959999999, 43.2910295]"
538,330,2015-10-02,5400 Reisterstown Road Baltimore Maryland,0.9680344001221916,1,4,Baltimore,Maryland,-76.68834709999999,39.34600070000001,0.6931471805599453,1.6094379124341005,2,"[-76.68834709999999, 39.34600070000001]"
539,331,2015-10-06,300 block of North Payson Street Baltimore Maryland,0.5375278407684164,0,5,Baltimore,Maryland,-76.64887159999998,39.2919467,0.0,1.791759469228055,2,"[-76.64887159999998, 39.2919467]"
540,332,2015-10-09,216 E Mountain View Dr Flagstaff Arizona,0.9010913347279288,1,3,Flagstaff,Arizona,-111.649455,35.189276,0.6931471805599453,1.3862943611198906,2,"[-111.649455, 35.189276]"
541,333,2015-10-10,2405 N Flora Peoria Illinois,0.9010913347279288,1,3,Peoria,Illinois,-89.6012307,40.71705220000001,0.6931471805599453,1.3862943611198906,2,"[-89.6012307, 40.71705220000001]"
542,333,2015-10-10,1900 block of West Boulevard Charlotte North Carolina,0.4828313737302301,0,4,Charlotte,North Carolina,-80.889749,35.214263,0.0,1.6094379124341005,1,"[-80.889749, 35.214263]"
543,333,2015-10-10,6135 Mount Moriah Road Memphis Tennessee,0.583773044716594,0,6,Memphis,Tennessee,-89.85919240000004,35.0699688,0.0,1.9459101490553128,2,"[-89.85919240000004, 35.0699688]"
544,334,2015-10-12,4731 Glenwood Road Decatur Georgia,0.4828313737302301,0,4,Decatur,Georgia,-84.2243541,33.736065100000005,0.0,1.6094379124341005,1,"[-84.2243541, 33.736065100000005]"
545,335,2015-10-17,2224 First St Fort Myers Florida,0.9680344001221916,1,4,Fort Myers,Florida,-81.8701195,26.644035499999998,0.6931471805599453,1.6094379124341005,2,"[-81.8701195, 26.644035499999998]"
546,335,2015-10-17,160 Easy Shopping Place Elkhart Indiana,0.4828313737302301,0,4,Elkhart,Indiana,-85.96671440000001,41.69043449999999,0.0,1.6094379124341005,1,"[-85.96671440000001, 41.69043449999999]"
547,336,2015-10-18,2600 block of Caffin Avenue New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.011173,29.97719600000001,0.0,1.6094379124341005,1,"[-90.011173, 29.97719600000001]"
548,337,2015-10-19,300 Campbell Avenue Calumet City Illinois,0.583773044716594,0,6,Calumet City,Illinois,-87.550872,41.629428000000004,0.0,1.9459101490553128,2,"[-87.550872, 41.629428000000004]"
549,338,2015-10-22,3500 John A. Merritt Blvd Nashville Tennessee,0.9010913347279288,1,3,Nashville,Tennessee,-86.82608959999996,36.1682498,0.6931471805599453,1.3862943611198906,2,"[-86.82608959999996, 36.1682498]"
550,339,2015-10-24,682 Dixie Ave. Bamberg South Carolina,0.4828313737302301,0,4,Bamberg,South Carolina,-81.0338983,33.3011401,0.0,1.6094379124341005,1,"[-81.0338983, 33.3011401]"
551,340,2015-10-25,2339 Stricklands Crossroads Road Four Oaks North Carolina,0.5375278407684164,0,5,Four Oaks,North Carolina,-78.357259,35.364437,0.0,1.791759469228055,2,"[-78.357259, 35.364437]"
552,340,2015-10-25,4300 block of Wheeler Road SE Washington District of Columbia,0.5375278407684164,0,5,Washington,District of Columbia,-76.98794389999998,38.8326983,0.0,1.791759469228055,2,"[-76.98794389999998, 38.8326983]"
553,340,2015-10-25,Seventh Street and Broadway Phoenix Arizona,0.9680344001221916,1,4,Phoenix,Arizona,-112.0645687,33.4067144,0.6931471805599453,1.6094379124341005,2,"[-112.0645687, 33.4067144]"
554,341,2015-10-26,711 E Virginia St Evansville Indiana,0.5375278407684164,0,5,Evansville,Indiana,-87.55447609999996,37.981738,0.0,1.791759469228055,2,"[-87.55447609999996, 37.981738]"
555,342,2015-10-27,1700 block of Southcrest Drive Fort Worth Texas,0.5375278407684164,0,5,Fort Worth,Texas,-97.345196,32.670772899999996,0.0,1.791759469228055,2,"[-97.345196, 32.670772899999996]"
556,343,2015-10-28,400 block of Morgan Street Houma Louisiana,0.9010913347279288,1,3,Houma,Louisiana,-90.7305463,29.59500809999999,0.6931471805599453,1.3862943611198906,2,"[-90.7305463, 29.59500809999999]"
557,344,2015-11-02,2217 Refuge Road Pendleton South Carolina,1.1266065387038702,4,0,Pendleton,South Carolina,-82.74790019999998,34.645278999999995,1.6094379124341005,0.0,3,"[-82.74790019999998, 34.645278999999995]"
558,345,2015-11-03,Ella Street and Kings Road Jacksonville Florida,1.184916910403644,2,3,Jacksonville,Florida,-81.69268690000001,30.347466999999998,1.0986122886681098,1.3862943611198906,3,"[-81.69268690000001, 30.347466999999998]"
559,346,2015-11-06,1000 block of Feliz Drive Bakersfield California,0.4828313737302301,0,4,Bakersfield,California,-118.98953370000001,35.3505533,0.0,1.6094379124341005,1,"[-118.98953370000001, 35.3505533]"
560,347,2015-11-07,Bayaud and Bannock Denver Colorado,0.9010913347279288,1,3,Denver,Colorado,-104.98996969999999,39.71479779999999,0.6931471805599453,1.3862943611198906,2,"[-104.98996969999999, 39.71479779999999]"
561,348,2015-11-08,13859 8 Mile Road Warren Michigan,0.4828313737302301,0,4,Warren,Michigan,-82.98325190000001,42.4513095,0.0,1.6094379124341005,1,"[-82.98325190000001, 42.4513095]"
562,348,2015-11-08,4397 NW 6th Drive Des Moines Iowa,0.9010913347279288,1,3,Des Moines,Iowa,-93.6261735,41.6401802,0.6931471805599453,1.3862943611198906,2,"[-93.6261735, 41.6401802]"
563,349,2015-11-09,400 block of North Beville Ave Indianapolis Indiana,1.0986122886681096,2,2,Indianapolis,Indiana,-86.12304830000002,39.7728748,1.0986122886681098,1.0986122886681098,3,"[-86.12304830000002, 39.7728748]"
564,350,2015-11-13,1300 block of South Shirley Oaks Drive Jacksonville Florida,1.3345506928718538,4,1,Jacksonville,Florida,-81.606388,30.4679021,1.6094379124341005,0.6931471805599453,3,"[-81.606388, 30.4679021]"
565,351,2015-11-14,1159 Main St Johnstown Pennsylvania,0.4828313737302301,0,4,Johnstown,Pennsylvania,-78.913889,40.323354200000004,0.0,1.6094379124341005,1,"[-78.913889, 40.323354200000004]"
566,352,2015-11-15,5600 block of Blakemore St Philadelphia Pennsylvania,0.4828313737302301,0,4,Philadelphia,Pennsylvania,-75.1601797,40.0482827,0.0,1.6094379124341005,1,"[-75.1601797, 40.0482827]"
567,352,2015-11-15,800 block of An County Rd 2217 Tennessee Colony Texas,1.2542316284596384,5,0,Tennessee Colony,Texas,-95.806857,31.807593,1.791759469228055,0.0,3,"[-95.806857, 31.807593]"
568,353,2015-11-16,1460 County Rd 664 Cedar Bluff Alabama,1.178350206951907,3,1,Cedar Bluff,Alabama,-85.6846382,34.2289049,1.3862943611198906,0.6931471805599453,3,"[-85.6846382, 34.2289049]"
569,354,2015-11-18,California Avenue and Martin Luther King Jr. Boulevard Fresno California,0.5375278407684164,0,5,Fresno,California,-119.7998626,36.721408600000004,0.0,1.791759469228055,2,"[-119.7998626, 36.721408600000004]"
570,355,2015-11-20,Prospect Drive Pittsburgh Pennsylvania,0.9010913347279288,1,3,Pittsburgh,Pennsylvania,-79.93553639999998,40.4314201,0.6931471805599453,1.3862943611198906,2,"[-79.93553639999998, 40.4314201]"
571,356,2015-11-21,Stricker and School Baltimore Maryland,0.9010913347279288,1,3,Baltimore,Maryland,-76.64193379999998,39.3057902,0.6931471805599453,1.3862943611198906,2,"[-76.64193379999998, 39.3057902]"
572,357,2015-11-22,1900 block of Gallier St New Orleans Louisiana,0.8671115273688493,0,17,New Orleans,Louisiana,-90.03715539999996,29.9747756,0.0,2.8903717578961645,2,"[-90.03715539999996, 29.9747756]"
573,357,2015-11-22,4100 block of West Roosevelt Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.7276188,41.8661269,0.0,1.6094379124341005,1,"[-87.7276188, 41.8661269]"
574,357,2015-11-22,Park Circle North Charleston South Carolina,0.9010913347279288,1,3,North Charleston,South Carolina,-79.98517749999998,32.8814008,0.6931471805599453,1.3862943611198906,2,"[-79.98517749999998, 32.8814008]"
575,357,2015-11-22,203 Broadway Newburgh New York,0.5375278407684164,0,5,Newburgh,New York,-74.0164156,41.500198600000004,0.0,1.791759469228055,2,"[-74.0164156, 41.500198600000004]"
576,357,2015-11-22,Broadway and Pike Seattle Washington,0.4828313737302301,0,4,Seattle,Washington,-122.32079159999999,47.6140896,0.0,1.6094379124341005,1,"[-122.32079159999999, 47.6140896]"
577,357,2015-11-22,1800 block of FM 802 Brownsville Texas,0.4828313737302301,0,4,Brownsville,Texas,-97.4272354,25.943499399999997,0.0,1.6094379124341005,1,"[-97.4272354, 25.943499399999997]"
578,358,2015-11-23,Morgan Avenue North Minneapolis Minnesota,0.5375278407684164,0,5,Minneapolis,Minnesota,-93.30448890000001,44.9878876,0.0,1.791759469228055,2,"[-93.30448890000001, 44.9878876]"
579,358,2015-11-23,90 block of S. Terrace Avenue Columbus Ohio,1.3345506928718538,4,1,Columbus,Ohio,-83.06637049999998,39.95336029999999,1.6094379124341005,0.6931471805599453,3,"[-83.06637049999998, 39.95336029999999]"
580,359,2015-11-24,1321 Colletta Ct Conway South Carolina,0.4828313737302301,0,4,Conway,South Carolina,-79.13968309999998,33.87066739999999,0.0,1.6094379124341005,1,"[-79.13968309999998, 33.87066739999999]"
581,360,2015-11-27,7900 block of Florin Road Sacramento California,1.0986122886681096,2,2,Sacramento,California,-121.41070570000001,38.4949095,1.0986122886681098,1.0986122886681098,3,"[-121.41070570000001, 38.4949095]"
582,360,2015-11-27,3480 Centennial Blvd Colorado Springs Colorado,1.661181580682137,3,9,Colorado Springs,Colorado,-104.8489734,38.88093509999999,1.3862943611198906,2.302585092994046,4,"[-104.8489734, 38.88093509999999]"
583,361,2015-11-29,648 E Court St Kankakee Illinois,0.5375278407684164,0,5,Kankakee,Illinois,-87.85792959999998,41.1193089,0.0,1.791759469228055,2,"[-87.85792959999998, 41.1193089]"
584,362,2015-12-02,100 block of West 33rd Street Savannah Georgia,0.9010913347279288,1,3,Savannah,Georgia,-81.10002480000001,32.0607278,0.6931471805599453,1.3862943611198906,2,"[-81.10002480000001, 32.0607278]"
585,362,2015-12-02,1365 South Waterman Ave San Bernardino California,2.8819690229055483,16,19,San Bernardino,California,-117.27762340000001,34.0755639,2.8332133440562166,2.9957322735539913,5,"[-117.27762340000001, 34.0755639]"
586,363,2015-12-06,North 108th Street and Military Road Omaha Nebraska,1.184916910403644,2,3,Omaha,Nebraska,-96.081417,41.31758749999999,1.0986122886681098,1.3862943611198906,3,"[-96.081417, 41.31758749999999]"
587,363,2015-12-06,Market Street Raceland Louisiana,0.9010913347279288,1,3,Raceland,Louisiana,-90.6093227,29.719339,0.6931471805599453,1.3862943611198906,2,"[-90.6093227, 29.719339]"
588,364,2015-12-08,2300 block of Baltimore Avenue Cincinnati (Fairmount) Ohio,0.9010913347279288,1,3,Cincinnati (Fairmount),Ohio,-84.56146799999998,39.149724,0.6931471805599453,1.3862943611198906,2,"[-84.56146799999998, 39.149724]"
589,365,2015-12-11,200 block of  Brownsville Road Pittsburgh (Mount Oliver) Pennsylvania,0.4828313737302301,0,4,Pittsburgh (Mount Oliver),Pennsylvania,-79.987511,40.415867999999996,0.0,1.6094379124341005,1,"[-79.987511, 40.415867999999996]"
590,365,2015-12-11,5100 block of Park Heights Avenue Baltimore Maryland,0.9010913347279288,1,3,Baltimore,Maryland,-76.67506,39.348287899999995,0.6931471805599453,1.3862943611198906,2,"[-76.67506, 39.348287899999995]"
591,366,2015-12-12,Whitaker Street Savannah Georgia,0.4828313737302301,0,4,Savannah,Georgia,-81.09774829999998,32.0667719,0.0,1.6094379124341005,1,"[-81.09774829999998, 32.0667719]"
592,366,2015-12-12,307 Jefferson St Lovejoy (Brooklyn) Illinois,0.9010913347279288,1,3,Lovejoy (Brooklyn),Illinois,-90.1684255,38.6573252,0.6931471805599453,1.3862943611198906,2,"[-90.1684255, 38.6573252]"
593,367,2015-12-13,17000 block of Keelson Lane Huntington Beach California,0.4828313737302301,0,4,Huntington Beach,California,-117.99043529999999,33.711658899999996,0.0,1.6094379124341005,1,"[-117.99043529999999, 33.711658899999996]"
594,367,2015-12-13,5550 S. Flower Street Los Angeles California,0.9010913347279288,1,3,Los Angeles,California,-118.282451,34.01606629999999,0.6931471805599453,1.3862943611198906,2,"[-118.282451, 34.01606629999999]"
595,368,2015-12-19,21630 Southwest 120th Avenue Miami (Goulds) Florida,0.9680344001221916,1,4,Miami (Goulds),Florida,-80.3867803,25.5659366,0.6931471805599453,1.6094379124341005,2,"[-80.3867803, 25.5659366]"
596,369,2015-12-20,NE 167th St and NE 6th Ave North Miami Beach Florida,0.4828313737302301,0,4,North Miami Beach,Florida,-80.1882389,25.9285197,0.0,1.6094379124341005,1,"[-80.1882389, 25.9285197]"
597,369,2015-12-20,11th and Castle Street Wilmington North Carolina,0.9680344001221916,1,4,Wilmington,North Carolina,-77.9345553,34.2288726,0.6931471805599453,1.6094379124341005,2,"[-77.9345553, 34.2288726]"
598,370,2015-12-21,14600 block of East 14th Street San Leandro California,0.4828313737302301,0,4,San Leandro,California,-122.1344968,37.7097668,0.0,1.6094379124341005,1,"[-122.1344968, 37.7097668]"
599,371,2015-12-25,785 Schillinger Rd S Mobile Alabama,0.4828313737302301,0,4,Mobile,Alabama,-88.2216179,30.6731365,0.0,1.6094379124341005,1,"[-88.2216179, 30.6731365]"
600,371,2015-12-25,Franklin and Odessa Jacksonville Florida,0.4828313737302301,0,4,Jacksonville,Florida,-81.6394057,30.332879600000002,0.0,1.6094379124341005,1,"[-81.6394057, 30.332879600000002]"
601,372,2015-12-26,4210 Macalester St Philadelphia Pennsylvania,0.4828313737302301,0,4,Philadelphia,Pennsylvania,-75.12113000000002,40.0142161,0.0,1.6094379124341005,1,"[-75.12113000000002, 40.0142161]"
602,373,2015-12-27,North Parkway Jackson Tennessee,0.4828313737302301,0,4,Jackson,Tennessee,-88.81761879999998,35.6486031,0.0,1.6094379124341005,1,"[-88.81761879999998, 35.6486031]"
