ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,indegree,outdegree,rand_ind_t,null_indegree,null_outdegree
415,2016-04-16,9500 block of Oakland Detroit Michigan,0.9680344001221916,1,4,Detroit,Michigan,-83.07417769999998,42.3882354,0.6931471805599453,1.6094379124341005,0,6,18,7,0
871,2018-07-03,1700 block of Benning Rd NE Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.97916479999998,38.8994838,0.0,1.6094379124341005,8,0,19,4,3
871,2018-07-03,1700 block of Billups Ave Saint Louis Missouri,1.022730867160378,1,5,Saint Louis,Missouri,-90.2425298,38.6565816,0.6931471805599453,1.791759469228055,3,9,19,0,8
384,2016-01-30,67th and Missouri Avenue Glendale Arizona,1.5079338935523396,3,5,Glendale,Arizona,-112.2048404,33.5165652,1.3862943611198906,1.791759469228055,0,13,20,4,4
729,2017-10-01,3950 Las Vegas Blvd S Las Vegas Nevada,4.693434158178778,59,441,Las Vegas,Nevada,-115.1763365,36.09339170000001,4.0943445622221,6.091309882077698,0,6,21,2,6
729,2017-10-01,1000 block of Massachusetts St Lawrence Kansas,1.2999897393843562,3,2,Lawrence,Kansas,-95.235711,38.9654625,1.3862943611198906,1.0986122886681098,0,6,21,6,4
104,2014-08-10,5400 block of Burgundy St New Orleans Louisiana,1.3065564428360932,2,5,New Orleans,Louisiana,-90.01919699999998,29.959362,1.0986122886681098,1.791759469228055,0,12,22,1,7
104,2014-08-10,16300 block of Heather Glen Road  Moreno Valley California,0.6238324625039507,0,7,Moreno Valley,California,-117.2217604,33.883616,0.0,2.0794415416798357,6,7,22,4,0
104,2014-08-10,2455 Idylwild Dr Wrightsville Georgia,0.583773044716594,0,6,Wrightsville,Georgia,-82.72899629999998,32.7091475,0.0,1.9459101490553128,8,6,22,9,0
104,2014-08-10,50 block of N St SW Washington District of Columbia,0.583773044716594,0,6,Washington,District of Columbia,-77.0108573,38.8744857,0.0,1.9459101490553128,8,6,22,3,6
776,2018-01-01,2025 Sparkman Dr NW Huntsville Alabama,0.9010913347279288,1,3,Huntsville,Alabama,-86.59455670000001,34.7628076,0.6931471805599453,1.3862943611198906,4,3,23,4,0
1088,2019-07-04,800 block of N Homan Ave Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.7114211,41.8954986,0.6931471805599453,1.3862943611198906,2,11,24,2,7
1088,2019-07-04,1100 block of Preston St Rockford Illinois,0.4828313737302301,0,4,Rockford,Illinois,-89.10634209999998,42.2714764,0.0,1.6094379124341005,9,0,24,3,7
1088,2019-07-04,1900 block of Adair St Los Angeles California,0.4828313737302301,0,4,Los Angeles,California,-118.2582842,34.0280185,0.0,1.6094379124341005,9,0,24,2,7
1088,2019-07-04,4700 block of E Hamilton Ave Fresno California,0.9010913347279288,1,3,Fresno,California,-119.7409002,36.7245752,0.6931471805599453,1.3862943611198906,2,11,24,8,2
1055,2019-05-18,700 Leverette Ln Cascilla Mississippi,0.9680344001221916,1,4,Cascilla,Mississippi,-90.1201993,33.8848664,0.6931471805599453,1.6094379124341005,1,10,25,8,2
1055,2019-05-18,100 Martin Luther King Avenue Atmore Alabama,1.1443703995928276,1,8,Atmore,Alabama,-87.4796241,31.0320884,0.6931471805599453,2.19722457733622,1,14,25,0,12
1055,2019-05-18,70 Kirkwood Ct SW Cedar Rapids Iowa,1.0986122886681096,2,2,Cedar Rapids,Iowa,-91.6554425,41.9216506,1.0986122886681098,1.0986122886681098,1,12,25,6,0
1055,2019-05-18,2410 W. Euclid Ave Muncie Indiana,1.0689760711085556,1,6,Muncie,Indiana,-85.4147845,40.2073182,0.6931471805599453,1.9459101490553128,1,12,25,4,8
1055,2019-05-18,4252 Cody Drive Winston Salem (Winston-salem) North Carolina,1.2518599757979068,2,4,Winston Salem (Winston-salem),North Carolina,-80.25111640000002,36.1501676,1.0986122886681098,1.6094379124341005,1,15,25,4,11
1055,2019-05-18,1616 West Pacific Coast Highway Long Beach California,0.9680344001221916,1,4,Long Beach,California,-118.2142617,33.789620500000005,0.6931471805599453,1.6094379124341005,1,10,25,9,0
1055,2019-05-18,2825 Y St Omaha Nebraska,0.4828313737302301,0,4,Omaha,Nebraska,-95.9558886,41.1974141,0.0,1.6094379124341005,2,0,25,9,0
1091,2019-07-07,211 Gold Ave SW Albuquerque New Mexico,0.4828313737302301,0,4,Albuquerque,New Mexico,-106.6499235,35.083595200000005,0.0,1.6094379124341005,7,0,26,4,0
1091,2019-07-07,Clio Rd and Myrtle St Flint Michigan,0.583773044716594,0,6,Flint,Michigan,-83.73268619999997,43.05039620000001,0.0,1.9459101490553128,5,4,26,4,8
1091,2019-07-07,600 block of W 61st Pl Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.639763,41.783262,0.0,1.6094379124341005,7,0,26,8,1
1091,2019-07-07,5600 block of S Paulina St Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.6669876,41.7921493,0.0,1.6094379124341005,7,0,26,6,0
1091,2019-07-07,N Tucker Blvd and Convention Plaza Saint Louis Missouri,0.5375278407684164,0,5,Saint Louis,Missouri,-90.1961105,38.6332014,0.0,1.791759469228055,6,4,26,7,10
540,2016-10-31,700 Block of W 68th St Shreveport Louisiana,0.4828313737302301,0,4,Shreveport,Louisiana,-93.76956690000002,32.4437869,0.0,1.6094379124341005,10,0,27,9,0
905,2018-08-20,E 94th St and Kinsman Rd Cleveland Ohio,0.9010913347279288,1,3,Cleveland,Ohio,-81.6201195,41.4716683,0.6931471805599453,1.3862943611198906,1,5,28,5,3
905,2018-08-20,60 Heritage Square Jackson Tennessee,0.9680344001221916,1,4,Jackson,Tennessee,-88.85613289999998,35.658273,0.6931471805599453,1.6094379124341005,1,6,28,2,6
438,2016-05-22,8639 Apple St New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.1237075,29.9616419,0.0,1.6094379124341005,7,0,29,5,4
438,2016-05-22,100 block of Rains Avenue Nashville Tennessee,0.4828313737302301,0,4,Nashville,Tennessee,-86.76380019999998,36.1401248,0.0,1.6094379124341005,7,0,29,5,7
438,2016-05-22,Poplar and Sutter Streets Stockton California,0.9010913347279288,1,3,Stockton,California,-121.2882889,37.962289,0.6931471805599453,1.3862943611198906,3,10,29,1,9
511,2016-09-11,87 Van Wagenen Ave Jersey City New Jersey,0.9010913347279288,1,3,Jersey City,New Jersey,-74.07023199999998,40.73327310000001,0.6931471805599453,1.3862943611198906,4,3,30,6,2
511,2016-09-11,1100 block of Highway 70 New Bern North Carolina,0.5375278407684164,0,5,New Bern,North Carolina,-77.0300249,35.079977,0.0,1.791759469228055,6,2,30,3,13
511,2016-09-11,2207 Pierce Road Saginaw Michigan,0.5375278407684164,0,5,Saginaw,Michigan,-83.959673,43.50688299999999,0.0,1.791759469228055,6,2,30,8,0
511,2016-09-11,500 block of Westport Rd Kansas City Missouri,0.583773044716594,0,6,Kansas City,Missouri,-94.5917188,39.0529277,0.0,1.9459101490553128,6,2,30,0,11
511,2016-09-11,2349 S Claiborne Ave New Orleans Louisiana,1.022730867160378,1,5,New Orleans,Louisiana,-90.091415,29.9446828,0.6931471805599453,1.791759469228055,3,5,30,5,0
511,2016-09-11,3006 Holton Avenue Fort Wayne Indiana,1.178350206951907,3,1,Fort Wayne,Indiana,-85.11875040000002,41.0574142,1.3862943611198906,0.6931471805599453,2,8,30,4,1
1060,2019-05-27,5900 block of Goodfellow Blvd Saint Louis Missouri,1.0986122886681096,2,2,Saint Louis,Missouri,-90.2547683,38.7134398,1.0986122886681098,1.0986122886681098,4,10,31,3,9
1060,2019-05-27,100 block of Walnut St Trenton New Jersey,1.022730867160378,1,5,Trenton,New Jersey,-74.74892,40.22096060000001,0.6931471805599453,1.791759469228055,7,10,31,4,3
1060,2019-05-27,1200 block of Sumner Rd SE Washington District of Columbia,0.5375278407684164,0,5,Washington,District of Columbia,-76.9972245,38.8611047,0.0,1.791759469228055,14,3,31,3,7
185,2015-01-23,954 Parker Street Boston Massachusetts,0.583773044716594,0,6,Boston,Massachusetts,-71.10100870000002,42.3243929,0.0,1.9459101490553128,7,0,32,8,6
326,2015-09-25,1300 block of May Street Danville Illinois,0.4828313737302301,0,4,Danville,Illinois,-87.60225009999998,40.1401769,0.0,1.6094379124341005,8,0,33,5,0
583,2017-01-15,County Road Y Capulin Colorado,1.178350206951907,3,1,Capulin,Colorado,-106.1042689,37.298152,1.3862943611198906,0.6931471805599453,2,9,34,10,4
583,2017-01-15,6000 block of Church Road Magnolia Mississippi,0.9680344001221916,1,4,Magnolia,Mississippi,-90.5340219,31.12852920000001,0.6931471805599453,1.6094379124341005,5,7,34,5,2
406,2016-03-13,50 South Road Fort Myers Florida,0.4828313737302301,0,4,Fort Myers,Florida,-81.8689344,26.5761675,0.0,1.6094379124341005,7,0,35,2,3
452,2016-06-18,Fredrick Douglas Road Exmore Virginia,0.9010913347279288,1,3,Exmore,Virginia,-75.832151,37.532512,0.6931471805599453,1.3862943611198906,3,10,36,5,6
452,2016-06-18,East 79th Street and South Escanaba Avenue Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.5540382,41.7518868,0.0,1.6094379124341005,9,0,36,3,8
452,2016-06-18,2625 Arnold Ct Waycross Georgia,1.0986122886681096,2,2,Waycross,Georgia,-82.363423,31.220116,1.0986122886681098,1.0986122886681098,3,13,36,2,11
279,2015-07-17,3100 block of Sunshine Avenue Cincinnati (Westwood) Ohio,0.4828313737302301,0,4,Cincinnati (Westwood),Ohio,-84.5788865,39.1436051,0.0,1.6094379124341005,10,0,37,2,11
279,2015-07-17,4400 block of W. Maypole Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.7358562,41.8848083,0.0,1.791759469228055,8,3,37,0,12
1123,2019-08-23,1122 Union Blvd Saint Louis Missouri,0.9010913347279288,1,3,Saint Louis,Missouri,-90.2721923,38.6578194,0.6931471805599453,1.3862943611198906,2,8,38,0,12
1123,2019-08-23,4900 block of Southwind St Houston Texas,1.2999897393843562,3,2,Houston,Texas,-95.3503175,29.6779794,1.3862943611198906,1.0986122886681098,0,16,38,6,0
1123,2019-08-23,200 Riverview Park Dr Dublin Georgia,0.4828313737302301,0,4,Dublin,Georgia,-82.89741149999998,32.5170907,0.0,1.6094379124341005,5,0,38,2,4
512,2016-09-13,1723 E Wayne St Fort Wayne Indiana,1.2999897393843562,3,2,Fort Wayne,Indiana,-85.1149066,41.08034079999999,1.3862943611198906,1.0986122886681098,0,10,39,4,7
927,2018-09-22,1800 block of Benning Rd Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.9773661,38.89929550000001,0.0,1.6094379124341005,6,0,40,8,0
927,2018-09-22,Dolan St Hempstead New York,0.4828313737302301,0,4,Hempstead,New York,-73.6187397,40.7062128,0.0,1.6094379124341005,6,0,40,3,4
397,2016-02-28,5500 block of Etiwanda Avenue Riverside (Jurupa Valley) California,0.9010913347279288,1,3,Riverside (Jurupa Valley),California,-117.5227124,33.9882595,0.6931471805599453,1.3862943611198906,6,3,41,6,5
397,2016-02-28,8800 block of Livernois Detroit Michigan,0.5375278407684164,0,5,Detroit,Michigan,-83.13790999999998,42.3590683,0.0,1.791759469228055,9,3,41,5,7
180,2015-01-10,4859 E Harry Street Wichita Kansas,1.0986122886681096,2,2,Wichita,Kansas,-97.2786749,37.66431179999999,1.0986122886681098,1.0986122886681098,3,5,42,4,2
1035,2019-04-18,4000 block of Bells Ln Louisville Kentucky,0.4828313737302301,0,4,Louisville,Kentucky,-85.8223184,38.2227219,0.0,1.6094379124341005,7,0,43,3,3
1080,2019-06-26,900 block of Rowe St Akron Ohio,0.9010913347279288,1,3,Akron,Ohio,-81.50205430000003,41.0539403,0.6931471805599453,1.3862943611198906,6,15,44,2,6
1080,2019-06-26,2800 block of N 34th St Milwaukee Wisconsin,0.4828313737302301,0,4,Milwaukee,Wisconsin,-87.9559,43.069893,0.0,1.6094379124341005,12,0,44,3,11
701,2017-08-08,1 block of East 37th St Chicago Illinois,1.0689760711085556,1,6,Chicago,Illinois,-87.626407,41.8273618,0.6931471805599453,1.9459101490553128,1,7,45,6,5
381,2016-01-25,140 S. D Street Perris California,0.9680344001221916,1,4,Perris,California,-117.22868490000002,33.7846868,0.6931471805599453,1.6094379124341005,2,4,46,2,7
55,2014-05-24,Strathmoor St Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.187569,42.397021,0.0,1.6094379124341005,8,0,47,7,0
55,2014-05-24,Ocean Boulevard near First Avenue North Myrtle Beach South Carolina,1.178350206951907,3,1,Myrtle Beach,South Carolina,-78.67765870000002,33.8173013,1.3862943611198906,0.6931471805599453,1,7,47,7,0
277,2015-07-15,7050 Old State Road Holly Hill South Carolina,1.3345506928718538,4,1,Holly Hill,South Carolina,-80.45002099999998,33.346705,1.6094379124341005,0.6931471805599453,0,12,48,7,0
277,2015-07-15,9200 block of Memorial Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.2113947,42.36245479999999,0.0,1.6094379124341005,9,0,48,6,2
277,2015-07-15,700 block of Thornhill Cleveland Ohio,0.6238324625039507,0,7,Cleveland,Ohio,-81.6018428,41.53763729999999,0.0,2.0794415416798357,8,9,48,8,0
277,2015-07-15,3500 block of West Garrison Boulevard Baltimore Maryland,0.9010913347279288,1,3,Baltimore,Maryland,-76.67677900000002,39.34574600000001,0.6931471805599453,1.3862943611198906,4,9,48,3,5
277,2015-07-15,500 block of Center Hill Avenue Atlanta Georgia,0.5375278407684164,0,5,Atlanta,Georgia,-84.46399090000001,33.76893870000001,0.0,1.791759469228055,9,4,48,1,11
1059,2019-05-26,800 block of Alvis Road La Crosse Virginia,0.5375278407684164,0,5,La Crosse,Virginia,-78.0273682,36.6090344,0.0,1.791759469228055,12,3,49,7,5
1059,2019-05-26,600 block of E Oak St Stockton California,0.9010913347279288,1,3,Stockton,California,-121.28485890000002,37.959817,0.6931471805599453,1.3862943611198906,10,7,49,2,4
1059,2019-05-26,3509 Wheeler Rd SE Washington District of Columbia,0.9010913347279288,1,3,Washington,District of Columbia,-76.994089,38.839294,0.6931471805599453,1.3862943611198906,10,7,49,3,0
823,2018-04-18,73 Hansel Ave Asheville North Carolina,1.5424948470398374,4,3,Asheville,North Carolina,-82.583641,35.591598,1.6094379124341005,1.3862943611198906,0,7,50,4,6
517,2016-09-23,201 Cascade Mall Dr Burlington Washington,1.2542316284596384,5,0,Burlington,Washington,-122.3389611,48.4622631,1.791759469228055,0.0,3,9,51,6,0
1153,2019-10-12,6733 W Irving Park Rd Chicago Illinois,1.2542316284596384,5,0,Chicago,Illinois,-87.7951046,41.95248350000001,1.791759469228055,0.0,1,8,52,4,4
1153,2019-10-12,700 block of W Russell St Philadelphia Pennsylvania,0.9010913347279288,1,3,Philadelphia,Pennsylvania,-75.141537,40.003582,0.6931471805599453,1.3862943611198906,3,5,52,3,6
1153,2019-10-12,75 Utica Ave Brooklyn New York,1.5424948470398374,4,3,Brooklyn,New York,-73.9301986,40.6763959,1.6094379124341005,1.3862943611198906,1,8,52,6,0
1153,2019-10-12,800 block of W Lexington St Baltimore Maryland,0.9010913347279288,1,3,Baltimore,Maryland,-76.63077940000002,39.2912348,0.6931471805599453,1.3862943611198906,3,5,52,2,7
1153,2019-10-12,15163 E 10 Mile Rd Eastpointe Michigan,1.022730867160378,1,5,Eastpointe,Michigan,-82.96447669999998,42.4798389,0.6931471805599453,1.791759469228055,3,8,52,2,0
816,2018-04-01,3556 Halls Mill Rd Mobile Alabama,0.9680344001221916,1,4,Mobile,Alabama,-88.12284679999998,30.6387232,0.6931471805599453,1.6094379124341005,1,6,53,8,3
816,2018-04-01,600 block of Yale St Saginaw Michigan,0.5375278407684164,0,5,Saginaw,Michigan,-83.9818929,43.4191787,0.0,1.791759469228055,3,2,53,7,2
343,2015-10-28,400 block of Morgan Street Houma Louisiana,0.9010913347279288,1,3,Houma,Louisiana,-90.7305463,29.59500809999999,0.6931471805599453,1.3862943611198906,1,2,54,5,3
427,2016-05-01,1955 Old Castle Drive Murfreesboro Tennessee,0.5375278407684164,0,5,Murfreesboro,Tennessee,-86.34826159999999,35.8228724,0.0,1.791759469228055,7,0,55,3,7
1077,2019-06-21,700 block of 14th St Richmond California,0.5375278407684164,0,5,Richmond,California,-122.356409,37.9421263,0.0,1.791759469228055,6,7,56,0,8
1077,2019-06-21,1506 N Charles St Saginaw Michigan,0.9010913347279288,1,3,Saginaw,Michigan,-83.9677083,43.4296369,0.6931471805599453,1.3862943611198906,3,14,56,3,7
1077,2019-06-21,6300 block of S King Dr Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.6160233,41.7792315,0.0,1.6094379124341005,7,0,56,3,5
1077,2019-06-21,519  West Taylor St Santa Maria California,1.2542316284596384,5,0,Santa Maria,California,-120.442204,34.9757003,1.791759469228055,0.0,0,19,56,8,0
539,2016-10-30,119 First Street Newburgh New York,1.3065564428360932,2,5,Newburgh,New York,-74.0104532,41.5020104,1.0986122886681098,1.791759469228055,0,11,57,8,0
539,2016-10-30,135 Ridge Street New York (Manhattan) New York,0.4828313737302301,0,4,New York (Manhattan),New York,-73.9830138,40.7195832,0.0,1.6094379124341005,8,0,57,0,8
539,2016-10-30,6862 Walker Mill Rd Capitol Heights Maryland,1.3862943611198906,3,3,Capitol Heights,Maryland,-76.88979259999998,38.8701849,1.3862943611198906,1.3862943611198906,0,11,57,3,6
539,2016-10-30,742 Junction Ave Toledo Ohio,0.4828313737302301,0,4,Toledo,Ohio,-83.57685140000002,41.6481091,0.0,1.6094379124341005,8,0,57,6,0
539,2016-10-30,2900 block of Aspen Meadow San Antonio Texas,0.5375278407684164,0,5,San Antonio,Texas,-98.606913,29.4646285,0.0,1.791759469228055,7,3,57,4,3
290,2015-07-30,Brushton Avenue Pittsburgh Pennsylvania,0.4828313737302301,0,4,Pittsburgh,Pennsylvania,-79.88856729999998,40.4583162,0.0,1.6094379124341005,6,0,58,0,7
187,2015-01-26,1500 block of E. 9th Street Stockton California,0.9010913347279288,1,3,Stockton,California,-121.2654104,37.9307095,0.6931471805599453,1.3862943611198906,5,1,59,4,4
1099,2019-07-18,3427 W Fulton Blvd Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.712267,41.8861073,0.6931471805599453,1.3862943611198906,1,6,60,0,7
1124,2019-08-24,6200 block of Maxwell Dr Temple Hills (Camp Springs) Maryland,0.6238324625039507,0,7,Temple Hills (Camp Springs),Maryland,-76.89855870000002,38.8174429,0.0,2.0794415416798357,4,7,61,10,0
1124,2019-08-24,Warren Street Lynn Massachusetts,0.9010913347279288,1,3,Lynn,Massachusetts,-70.96010859999998,42.4612926,0.6931471805599453,1.3862943611198906,3,8,61,10,3
444,2016-06-05,Mermaid Ave and 16th St. Brooklyn New York,0.4828313737302301,0,4,Brooklyn,New York,-73.98371540000002,40.5767364,0.0,1.6094379124341005,7,0,62,10,3
444,2016-06-05,8th and Humboldt Avenue N. Minneapolis Minnesota,0.4828313737302301,0,4,Minneapolis,Minnesota,-93.2981937,44.9846011,0.0,1.6094379124341005,7,0,62,2,5
444,2016-06-05,2600 block of Skyline Boulevard S Cape Coral Florida,1.3862943611198906,3,3,Cape Coral,Florida,-81.99094079999998,26.6035305,1.3862943611198906,1.3862943611198906,0,12,62,8,0
444,2016-06-05,8152 N Black Canyon Hwy Phoenix Arizona,1.2518599757979068,2,4,Phoenix,Arizona,-112.1140293,33.5564792,1.0986122886681098,1.6094379124341005,1,10,62,1,4
514,2016-09-16,5100 block of Sansom St Philadelphia Pennsylvania,1.3065564428360932,2,5,Philadelphia,Pennsylvania,-75.22340020000001,39.9574785,1.0986122886681098,1.791759469228055,0,12,63,1,4
514,2016-09-16,555 N Heliotrope Dr Los Angeles (Hollywood) California,1.0986122886681096,2,2,Los Angeles (Hollywood),California,-118.295644,34.0806533,1.0986122886681098,1.0986122886681098,4,10,63,8,0
872,2018-07-04,5456 E Fayetteville Rd Atlanta Georgia,0.9010913347279288,1,3,Atlanta,Georgia,-84.4448183,33.606479799999995,0.6931471805599453,1.3862943611198906,4,8,64,6,5
582,2017-01-12,500 block of Sunrise St Salinas California,1.0986122886681096,2,2,Salinas,California,-121.6141734,36.685208,1.0986122886681098,1.0986122886681098,2,9,65,6,0
582,2017-01-12,8607 E 61st Terrace Kansas City Missouri,1.2999897393843562,3,2,Kansas City,Missouri,-94.48556909999999,39.01221839999999,1.3862943611198906,1.0986122886681098,1,12,65,0,8
739,2017-10-16,5th Street Meridian Mississippi,0.9010913347279288,1,3,Meridian,Mississippi,-88.71413340000002,32.361028399999995,0.6931471805599453,1.3862943611198906,3,8,66,7,5
1020,2019-03-19,8526 N 27th Ave Phoenix Arizona,1.2518599757979068,2,4,Phoenix,Arizona,-112.1171963,33.561375,1.0986122886681098,1.6094379124341005,0,10,67,1,6
819,2018-04-06,5800 block of Pickering St Virginia Beach Virginia,0.9010913347279288,1,3,Virginia Beach,Virginia,-76.1778641,36.8585864,0.6931471805599453,1.3862943611198906,2,2,68,5,5
819,2018-04-06,6100 block of Transylvania Ave Jacksonville Florida,0.4828313737302301,0,4,Jacksonville,Florida,-81.74122270000002,30.2491221,0.0,1.6094379124341005,6,0,68,7,3
613,2017-03-05,600 block of 32nd Street Columbus Georgia,0.4828313737302301,0,4,Columbus,Georgia,-84.9851066,32.4940719,0.0,1.6094379124341005,6,0,69,3,9
